dist,radius
1222,137.3792419
1224.999878,130.5616913
1227.999878,125.4263382
1231,122.7356796
1234,122.1756592
1237,120.1439667
1240.999878,120.1439667
1244,120.6058502
1247,122.314064
1250,123.7618942
1253,125.8605881
1255.999878,127.7232285
1260,127.9486542
1263,127.9486542
1265.999878,127.1616287
1268.999878,126.2951202
1273,125.2598267
1275.999878,125.0375214
1278.999878,125.0375214
1282,125.9543381
1286,126.5191269
1288.999878,127.9634399
1291.999878,130.0451355
1296,132.4087372
1298.999878,135.1624603
1301.999878,138.121994
1306,142.7382507
1309,150.0220337
1311.999878,160.6444092
1314.999878,174.2079163
1318,189.0501862
1321,211.5921173
1324,211.5921173
1328,167.6252441
1331,156.4395447
1334,156.4395447
1336,171.7711792
1339,171.7711792
1342,145.7946472
1344.999878,129.0974731
1347.999878,116.098465
1351,105.5031967
1354,98.4796219
1357,94.8991776
1360,93.9688187
1362,92.031189
1365,92.031189
1367.999878,93.5670319
1370.999878,96.3103027
1374,99.336441
1377,102.3759842
1380,106.3479996
1383,110.7736664
1385.999878,115.1945877
1389,119.6279755
1392,124.0231323
1395.999878,130.2600861
1398.999878,139.0494537
1402,150.5450134
1405,164.2275085
1408.999878,178.8164215
1412,201.9633636
1415,235.5937958
1418.999878,277.4449158
1421.999878,316.1381531
1426,380.5735779
1429,380.5735779
1433,406.5698853
1436.999878,406.5698853
1439.999878,717.079834
1444,847.5696411
1448,847.5696411
1451,843.7787476
1454.999878,843.7787476
1459,904.2400513
1463,928.3143311
1466,928.3143311
1469.999878,499.3808289
1472.999878,478.0013123
1477,478.0013123
1480,478.0013123
1484,430.0377502
1487,343.8637085
1490.999878,281.9018555
1494,241.9989624
1497,214.7225647
1500.999878,189.3203583
1504,168.9792786
1507,154.5678711
1510.999878,145.3288422
1514,136.7818909
1517,129.777832
1520,125.4295807
1523.999878,125.4295807
1527,125.7325974
1530,125.9510117
1533,129.3105927
1537,136.3562317
1540,146.808548
1543,159.6308594
1546.999878,173.9838257
1550,197.1342773
1554,231.0328217
1556.999878,272.7824707
1560,307.3987427
1564,346.9481201
1568,346.9481201
1571,346.9481201
1574.999878,376.8446045
1578,376.8446045
1582,352.3521118
1584.999878,300.0761414
1589,254.3285828
1592,222.4251556
1596,202.056366
1599,185.3800049
1602.999878,170.9535522
1606,160.1759949
1610,153.2612915
1612.999878,149.532547
1615.999878,145.2509308
1620,142.4693604
1622.999878,142.186554
1627,142.186554
1630,144.2888336
1634,145.7652893
1637,149.2753143
1640.999878,155.254364
1643.999878,163.5706177
1648,173.6723022
1650.999878,184.0748291
1655,200.5464325
1658.999878,224.2909088
1662,254.2788086
1666,285.413208
1670,333.2636719
1673,395.149231
1676.999878,395.149231
1681,234.6816406
1685,234.6816406
1688,391.9342651
1691.999878,391.9342651
1694.999878,328.9179382
1699,279.0587463
1702,246.6897888
1706,221.1283875
1709,198.649353
1713,180.873291
1716,167.9365845
1719,158.9408264
1722.999878,149.920105
1726,141.2913361
1729,133.3500824
1732,126.2745819
1735,120.0177155
1737.999878,114.3322372
1740.999878,107.4037628
1744,99.7469635
1747,92.5730972
1750,86.9285126
1753,81.9345932
1755.999878,77.0453491
1758,73.2691956
1760.999878,71.1444626
1763,70.5985641
1765.999878,69.3438263
1768.999878,69.3438263
1770.999878,70.8888779
1773.999878,73.9889297
1775.999878,78.3421402
1778.999878,82.5860138
1782,89.9969177
1785,101.2014847
1787,115.8027725
1790,131.9360046
1793,154.1256714
1796,186.8225555
1798.999878,219.6922455
1801.999878,219.6922455
1805,149.4011841
1808,149.4011841
1811,373.8900146
1814,373.8900146
1816.999878,373.8456726
1819.999878,354.8876648
1824,332.9993896
1827,320.8199158
1829.999878,320.8199158
1834,323.4145813
1837,331.7748108
1841,339.6030273
1844,351.7581177
1847.999878,366.4390259
1852,381.0131531
1855,393.3998108
1859,406.5055542
1862.999878,419.9559021
1865.999878,429.6865234
1870,429.6865234
1874,420.1203613
1878,415.8685608
1880.999878,397.0785828
1885,365.5744324
1889,331.1972351
1893,302.0625305
1895.999878,281.1393738
1900,258.2361145
1903.999878,238.3441925
1908,224.1852264
1912,215.8793945
1915,206.419632
1918.999878,199.5903625
1923,196.2446289
1926,196.2446289
1930,198.6109772
1934,200.0518494
1936.999878,204.2928772
1941,211.1070862
1944,219.6248474
1948,229.1737518
1951,240.6485901
1954,257.9597778
1958,282.9444885
1961,314.3105774
1964,341.1245117
1967,341.1245117
1971,309.4877014
1974,222.3468475
1977,222.3468475
1980,226.6811829
1982.999878,226.6811829
1986,194.8962402
1989,165.3165436
1992,144.1932983
1995,130.4687805
1998,118.5103378
2001.000122,108.0183792
2004.000244,99.537178
2006,93.1463394
2009.000122,88.5738297
2012.000122,84.3295593
2015.000122,80.2474899
2017.000244,76.7550888
2020,74.1994629
2023,72.650322
2025.000122,70.8855591
2028.000122,69.5673981
2030,69.1981201
2033,69.1981201
2036,70.1391144
2038.000122,70.7667923
2041.000122,72.4266281
2044.000122,75.2685852
2046,79.1556015
2049,83.7895966
2052,88.7231216
2054.000244,96.3879471
2057.000244,107.431427
2060.000244,121.4674454
2062,135.4725037
2065,155.8357697
2068,155.8357697
2070.000244,89.3587189
2073.000244,89.3587189
2076,135.6303406
2079,135.6303406
2081,125.9932861
2084,107.6658249
2086,95.0996246
2089,87.8827286
2092,81.2633896
2094,76.5362625
2097,74.104599
2099,74.104599
2102,74.7944946
2105,75.1386032
2107,76.8961258
2110.000244,79.7899323
2113.000244,83.145462
2116.000244,86.2834854
2118,89.7348175
2121,93.7320175
2124,97.6993332
2127,101.0150375
2130,103.4205017
2133.000244,106.0174866
2136.000244,108.2949524
2139.000244,109.7682571
2142.000244,109.7682571
2145,109.0660248
2148,108.754631
2151,107.0598907
2154,104.1682358
2157,100.9707031
2160,98.4037247
2163,96.1222229
2167,94.0050964
2170,92.7468872
2173,92.7468872
2176,93.5443878
2179.000244,93.7523422
2182.000244,95.116806
2186,97.6508179
2189.000244,101.0303879
2192.000244,104.85672
2195.000244,109.0064545
2199,115.0425339
2202.000244,123.1682663
2206,133.0636597
2209,143.9272766
2212.000244,156.7697754
2216,175.6249237
2219,201.6781158
2222,233.1032104
2226,261.1730042
2229,309.9952087
2232,309.9952087
2236,348.9703369
2239,395.3011475
2242,485.6314392
2245.000244,485.6314392
2249,405.6574402
2252,315.1261292
2255,247.1802979
2258.000244,200.3960724
2261.000244,174.1107788
2264.000244,146.5603027
2267.000244,124.4685745
2270,110.0888062
2273,102.2887344
2275,94.5347519
2278,89.2423859
2281.000244,87.4440002
2284.000244,87.4440002
2286,89.901474
2289,91.1742172
2292,94.860672
2295,100.35215
2297.000244,105.8265839
2300.000244,109.4776535
2303,115.1030121
2306,119.4402618
2308,121.6023636
2311,122.3157349
2314.000244,122.8125229
2317.000244,123.0082016
2319,123.4113235
2322,125.6389999
2325,129.5754089
2328,132.5689087
2331,136.9966431
2333.000244,144.2118988
2336,151.7390594
2339,157.8246765
2342,157.8246765
2344,157.5306244
2347,152.2306976
2350.000244,143.4889069
2352,133.2332916
2355,123.0841599
2357,114.9231033
2360.000244,104.4551849
2363.000244,93.7954788
2365,85.2164993
2368,79.4598465
2370.000244,74.5831299
2372,70.7299194
2375,68.1186371
2377,66.4369583
2379.000244,64.7084274
2382,63.1696091
2384,62.2197723
2387,60.9506607
2389.000244,60.9506607
2391,62.9171715
2394,64.5621033
2396.000244,68.1460266
2399.000244,74.1177673
2401,82.4280777
2403,92.0957794
2406.000244,103.8826523
2409.000244,119.997139
2411,119.997139
2414,65.1468277
2416.000244,65.1468277
2419.000244,145.6157227
2422.000244,145.6157227
2424,138.8995514
2427,120.7982407
2430,108.9363861
2432.000244,99.3028641
2435.000244,91.1017075
2438,84.8311005
2440,80.444664
2443,77.5774841
2445.000244,74.5306625
2448.000244,71.7879944
2450,69.3828201
2453,67.2755661
2455.000244,65.394577
2458.000244,63.6606026
2460,61.516407
2462.000244,59.100132
2465.000244,56.7906303
2467,54.9459686
2469,53.2050285
2472,51.4911079
2474,50.167347
2476,49.4658012
2478.000244,49.403759
2481.000244,49.2603836
2483,49.2603836
2485.000244,50.2196579
2487,51.8239517
2489,53.8177834
2492,55.7280846
2494.000244,58.656002
2496,62.5055847
2499,66.8551788
2501.000244,71.2070618
2503,75.9681549
2506,82.2933426
2508.000244,90.0549927
2511.000244,98.5647202
2513,106.970314
2516,116.6196823
2518.000244,129.4787598
2521.000244,145.3716125
2524.000244,163.0271912
2526,180.6796112
2529,202.542572
2532,232.7890015
2535,272.5433655
2538,319.7117004
2541.000244,367.4559021
2544.000244,442.1402588
2547.000244,550.3395386
2550.000244,663.9519043
2554.000244,663.9519043
2557.000244,431.8073425
2560.000244,431.8073425
2564.000244,1054.853638
2567.000244,1054.853638
2571,1040.827148
2574,981.4828491
2577.000244,910.5892334
2581,865.7159424
2584,848.0074463
2588,848.0074463
2591,848.5634766
2595,848.5634766
2598,843.8505859
2601,799.6082153
2605,721.4082642
2608,632.7962036
2611,575.9279785
2614,496.6259766
2617,414.156189
2620.000244,345.4107666
2623.000244,293.8714294
2626.000244,259.7558289
2629.000244,223.1878357
2632,190.3737335
2635,164.9020233
2638,146.6902466
2641,132.5012054
2643.000244,118.5757065
2646.000244,106.5621185
2649.000244,97.3557816
2651,90.8592682
2654,84.7634506
2657,79.0566864
2659.000244,74.2648773
2662.000244,70.6955109
2664,68.2952499
2667,65.7106781
2669.000244,63.4020844
2671,61.5449791
2674,60.2069092
2676,59.3138962
2678,58.3109207
2680,57.3778839
2683,56.5417938
2685.000244,55.878582
2687,55.4878922
2689.000244,55.0646439
2691,55.0646439
2694,55.2798042
2696,56.3605499
2698.000244,58.1111908
2700,59.4513245
2703,62.049984
2705.000244,66.0934677
2707,71.358223
2710,77.2419586
2712.000244,83.8164215
2715.000244,93.4770966
2717,106.1348877
2719,120.2058868
2722,133.2940369
2724,151.8008118
2727,175.4590912
2730,203.2523651
2732,232.8217621
2735.000244,261.7944641
2738.000244,300.8901978
2740,354.1528625
2743,354.1528625
2746,340.3539734
2749,244.0770264
2752,244.0770264
2755,313.5856934
2758.000244,313.5856934
2761.000244,263.9205017
2764.000244,231.0199127
2767.000244,207.7721558
2770,187.8956299
2773,174.2866821
2776,166.7377319
2779,163.4606781
2782,158.3478088
2785,155.0788574
2788,152.219162
2791.000244,148.0080872
2793,142.0289764
2796,138.310791
2799,131.5864716
2802,123.5434036
