dist,radius
1.006,122.2371959
1.009,124.7021138
1.012,128.9101478
1.015,134.5314237
1.018,140.9895906
1.022,147.4242503
1.025,157.0167606
1.028,169.852469
1.032,184.9189403
1.035,200.4902761
1.039,219.1627215
1.042,245.1152626
1.046,278.4899397
1.049,316.3884209
1.053,353.3085486
1.057,410.3765686
1.06,492.9224253
1.064,604.6827826
1.068,728.0600773
1.071,803.3120331
1.075,923.9104131
1.079,611.5958582
1.083,512.1767802
1.086,837.0135697
1.09,718.1074093
1.093,644.0028059
1.097,523.2341486
1.1,416.718147
1.104,341.1026085
1.107,291.4036419
1.111,258.1858845
1.114,226.0442589
1.117,199.1087865
1.121,179.0914704
1.124,165.3198999
1.127,153.2995446
1.13,142.4119179
1.133,134.1702721
1.136,129.2572144
1.14,127.4003362
1.143,124.5852654
1.146,123.6411761
1.149,124.3740019
1.152,125.7640351
1.155,126.3355351
1.158,127.1507632
1.161,126.2216149
1.164,122.0934275
1.167,115.4783328
1.17,108.8162243
1.173,103.974784
1.176,98.32510526
1.179,93.66459334
1.182,91.11614863
1.185,90.7956868
1.188,88.94025333
1.191,89.07429578
1.194,91.77475328
1.197,96.9737898
1.2,103.6622128
1.202,111.3877245
1.205,123.4170719
1.208,138.0675162
1.211,150.4724796
1.214,156.3642401
1.217,165.817906
1.22,168.3286231
1.223,162.5236149
1.227,152.7745601
1.23,143.9281015
1.233,137.3792345
1.236,130.5616901
1.239,125.4263377
1.242,122.7356778
1.245,122.1756601
1.248,120.1439656
1.252,119.6515205
1.255,120.6058511
1.258,122.3140651
1.261,123.7618912
1.264,125.8605872
1.267,127.7232248
1.271,128.4332605
1.274,127.9486572
1.277,127.1616291
1.28,126.295117
1.284,125.2598231
1.287,124.7377622
1.29,125.0375214
1.293,125.9543372
1.297,126.5191235
1.3,127.9634405
1.303,130.0451337
1.307,132.4087408
1.31,135.1624529
1.313,138.1219953
1.317,142.738245
1.32,150.0220288
1.323,160.6444075
1.326,174.2079102
1.329,189.0501933
1.332,211.5921168
1.335,227.8429365
1.339,167.6252366
1.342,17.29319861
1.345,156.439547
1.347,196.6522022
1.35,171.7711783
1.353,145.7946433
1.356,129.0974659
1.359,116.098467
1.362,105.5031942
1.365,98.4796192
1.368,94.89917686
1.371,93.96881541
1.373,92.03118763
1.376,91.92827802
1.379,93.56703082
1.382,96.31030164
1.385,99.33644251
1.388,102.3759872
1.391,106.3480024
1.394,110.7736628
1.397,115.1945865
1.4,119.6279759
1.403,124.023129
1.407,130.2600814
1.41,139.049447
1.413,150.5450141
1.416,164.2275109
1.42,178.8164261
1.423,201.9633618
1.426,235.5938001
1.43,277.4449085
1.433,316.1381402
1.437,380.5735755
1.44,433.7710341
1.444,236.3932946
1.448,406.5698938
1.451,717.0798303
1.455,877.5325125
1.459,847.5696687
1.462,822.5691087
1.466,843.7787567
1.47,904.2400814
1.474,934.3818592
1.477,928.3143487
1.481,499.3808359
1.484,261.9506428
1.488,478.0013251
1.491,507.5537613
1.495,430.0377426
1.498,343.8637168
1.502,281.9018663
1.505,241.9989581
