dist,radius
0.002,4.296705075
0.002,4.296705075
0.002,0.546254938
0.002,0.526983793
0.002,0.66858969
0.002,1.445722133
0.002,1.445722133
0.002,1.150257647
0.002,0.528709012
0.002,0.540050831
0.002,0.752425049
0.002,0.752425049
0.002,0.431631402
0.002,0.335986176
0.002,0.242337753
0.002,0.180290894
0.002,0.180290894
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,inf
0.002,0.429117305
0.002,0.422269556
0.002,0.422269556
0.002,0.406270839
0.002,0.661280253
0.002,0.435248837
0.002,0.486251132
0.002,0.486251132
0.002,0.533991954
0.002,0.62621226
0.002,11.65480421
0.002,0.536687837
0.002,0.536687837
0.002,0.546940656
0.002,0.554156291
0.002,0.556071873
0.002,0.559005522
0.002,0.559005522
0.002,0.566417551
0.002,0.582959654
0.002,0.615307165
0.002,0.661810776
0.002,0.661810776
0.002,0.711852878
0.002,0.72231904
0.002,0.692269335
0.002,0.688093096
0.002,0.688093096
0.002,0.734967388
0.002,0.824256737
0.002,0.937559555
0.002,1.057792905
0.002,1.057792905
0.002,1.181178361
0.002,1.305838751
0.002,1.43947133
0.002,1.576071738
0.002,1.576071738
0.002,1.70091516
0.002,1.78730111
0.002,1.838555823
0.002,1.896992801
0.002,1.896992801
0.002,2.020960214
0.002,2.370658307
0.002,3.233872867
0.002,4.770425926
0.002,4.770425926
0.002,6.139154847
0.002,6.136054121
0.002,5.415342788
0.002,4.764938536
0.002,4.764938536
0.002,4.322047277
0.002,4.095957804
0.002,4.021190545
0.002,4.062097531
0.002,4.062097531
0.002,4.193472337
0.002,4.367732139
0.002,4.529433234
0.002,4.625819703
0.002,4.625819703
0.002,4.624756885
0.002,4.525315947
0.002,4.353756116
0.002,4.15367624
0.002,4.15367624
0.002,3.957350443
0.002,3.809962493
0.002,3.746016224
0.002,3.786349783
0.002,3.786349783
0.002,3.972938229
0.002,4.374040777
0.002,5.764222757
0.002,3.533178522
0.002,3.533178522
0.002,3.112989451
0.002,4.064385128
0.002,5.073659101
0.002,8.274054952
0.002,8.274054952
0.002,58.43832451
0.002,1.319733197
0.002,92.85910209
0.002,5.476469838
0.002,5.476469838
0.002,0.983856184
0.002,0.512384393
0.002,0.505601527
0.002,0.378754966
0.002,0.378754966
0.002,0.240357194
0.002,0.120603177
0.002,0.042672444
0.002,0.013348589
0.002,0.013348589
0.002,0.072145233
0.002,0.14445359
0.002,0.243299956
0.002,0.340900569
0.002,0.340900569
0.002,0.418583715
0.002,3.770842522
0.002,0.626452364
0.002,0.780685464
0.002,0.780685464
0.002,2.618111062
0.002,1.632333988
0.002,72.05732642
0.002,17.74037222
0.002,17.74037222
0.002,34.60322465
0.002,17.36711791
0.002,4.470100499
0.002,25.33084658
0.002,25.33084658
0.002,4.924774514
0.002,3.103928381
0.002,2.264891521
0.002,1.797533409
0.002,1.797533409
0.002,1.550557231
0.002,1.442401105
0.002,1.402961501
0.002,1.393668415
0.002,1.393668415
0.002,1.39299761
0.002,1.393555525
0.002,1.394239018
0.002,1.398272752
0.002,1.398272752
0.002,1.412006972
0.002,1.444026606
0.002,1.507268176
0.002,1.623851695
0.002,1.623851695
0.002,1.823224719
0.002,2.160927163
0.002,2.739791915
0.002,3.753122919
0.002,3.753122919
0.002,5.583144866
0.002,8.764970711
0.002,14.17790686
0.002,23.19842804
0.002,23.19842804
0.002,37.76172733
0.002,61.67229971
0.002,101.1948527
0.002,172.6697278
