dist,radius
18.6520858,242.8028107
18.9451498,241.8822021
19.2376576,240.9634094
19.5287192,166.8208466
19.820671,135.5419312
20.1126227,114.1405716
20.4036843,98.2007751
20.69508,86.0871582
20.9859195,79.4057999
21.2753179,79.4057999
21.5656014,82.459877
21.8558848,78.9348373
22.1497185,78.2394104
22.4483434,85.2914886
22.7491927,92.4556808
23.0496791,92.4556808
23.3510845,95.2051392
23.6569387,97.9948807
23.9662957,103.5467453
24.278823,95.9220428
24.5919065,89.0704651
24.9040355,83.7241287
25.2182311,78.7694626
25.5329829,79.0480499
25.8482907,79.3271179
26.1631917,84.615593
26.4790557,90.0164566
26.7993684,92.2176666
27.1225854,93.4874344
27.4490153,85.011879
27.7760012,77.7251511
28.1019902,72.8116302
28.4317566,68.6267624
28.7643036,69.0865631
29.0969454,69.3170547
29.4311607,69.3170547
29.7653759,71.1747208
30.1030074,73.0569382
30.4461202,75.8574371
30.7914574,66.1756058
31.1362961,58.5399666
31.4821894,56.5996361
31.8319754,54.8733253
32.1845758,56.3640175
32.5399228,57.5502129
32.8958258,59.6817017
33.2506438,64.582283
33.6104396,64.7183151
33.974128,64.4718323
34.3405969,63.4700851
34.706503,62.5050697
35.0740841,63.6449509
35.4450018,64.6027222
35.8175607,70.5014725
36.1934833,78.3961029
36.569962,74.0318222
36.9464017,71.4142838
37.3284414,69.299614
37.715486,66.6627121
38.1041225,68.0259171
38.4945037,68.2198639
38.8854409,66.2922745
39.2796215,63.3787956
39.6789003,60.3171005
40.0804034,57.124073
40.4812369,58.0889893
40.8838523,59.0557785
41.2898042,67.8374329
41.6983993,80.0050888
42.1104683,81.9552612
42.5236495,85.6283188
42.9366798,88.1756058
43.3570904,90.760231
43.7836179,90.4129639
44.2134821,90.6470337
44.6425901,89.166687
45.0735665,89.3315353
45.5089917,82.2572327
45.9480789,74.5962296
46.3912895,78.2890167
46.8350561,82.5515366
47.2785786,79.2243576
47.7284624,77.4234848
48.183351,75.061348
48.6396247,72.1934357
49.09785,70.6352463
49.5571874,71.5871658
50.0212227,69.0006027
50.4927943,65.9586182
50.9677025,70.1444626
51.4417171,73.9142075
51.9177375,78.3143311
52.3982066,82.9046326
52.8810917,84.8462677
53.3676779,87.3055801
53.8542641,84.8462677
54.3393669,84.4345627
54.8281775,85.011879
55.3186564,85.3978729
55.8102475,82.1675415
56.3008943,79.0072556
56.7930415,78.6505661
57.2840765,79.4916382
57.77306,84.8192139
58.2629828,92.5300598
58.7529056,83.6573105
59.2413347,75.9911118
59.7301454,73.0778809
60.2183999,70.3680801
60.7046114,72.7453308
61.1917537,74.5415115
61.678896,75.1290512
62.1634444,75.9060593
62.6489184,74.7855911
63.1338363,74.7855911
63.6172758,72.9615555
64.1021937,70.3864365
64.5871117,67.2230072
65.0705512,65.0309448
65.5554691,67.2230072
66.040387,69.5679932
66.5238265,66.9150009
67.0076322,64.2873154
67.4897696,64.1391068
67.9713509,64.8439331
68.451464,64.1391068
68.9330454,64.5842667
69.416295,65.745575
69.8997345,67.3772964
70.3852085,66.7813797
70.8712387,66.7813797
71.355787,66.0792236
71.8445976,65.4111404
72.3361888,63.675251
72.8273899,61.9045029
73.3206493,63.8190727
73.8139087,66.6003952
74.3084362,65.946022
74.8072566,65.7034607
75.3077453,65.1776199
75.8072625,64.6625519
76.3088633,64.5849609
76.8126886,65.2997742
77.3177498,66.9253235
77.8254678,69.0387573
78.3331858,69.7732162
78.8393558,71.6026917
79.348186,70.9876709
79.8575722,70.3859253
80.3675146,69.7970123
80.8764567,69.0699615
81.3869551,69.8244019
81.9002341,70.5829468
82.4147202,73.9695587
82.9318918,77.4982147
83.4496196,74.1287231
83.9657688,73.0268631
84.4879454,69.7165451
85.0140146,66.9909897
85.5406975,67.1320953
86.0695473,67.1320953
86.598397,69.2891998
87.1289608,72.3948593
87.6650398,71.4316559
88.202787,70.2160568
88.7394492,68.2656021
89.2777526,67.2465439
89.8193926,66.4214249
90.363262,65.2471619
90.9110191,65.9433212
91.4593323,66.6517334
92.0065281,68.520401
92.5581779,71.1004868
93.1126081,74.228241
93.6687066,77.1391449
94.2231098,77.1391449
94.7792083,78.683876
